Variable,Question_Description,Value,Value_Meaning
Q97,Muscle strengthening,4,3 days
Q97,Muscle strengthening,5,4 days
Q97,Muscle strengthening,6,5 days
Q97,Muscle strengthening,7,6 days
Q97,Muscle strengthening,8,7 days
Q98,Sunburn,1,0 times
Q98,Sunburn,2,1 time
Q98,Sunburn,3,2 times
Q98,Sunburn,4,3 times
Q98,Sunburn,5,4 times
Q98,Sunburn,6,5 or more times
Q99,How often household adult met basic needs ACEs,1,Never
Q99,How often household adult met basic needs ACEs,2,Rarely
Q99,How often household adult met basic needs ACEs,3,Sometimes
Q99,How often household adult met basic needs ACEs,4,Most of the time
Q99,How often household adult met basic needs ACEs,5,Always
Q100,Ever lived w/parent/guardian w/substance abuse ACE,1,Yes
Q100,Ever lived w/parent/guardian w/substance abuse ACE,2,No
Q101,Ever lived with parent/guardian w mental illness A,1,Yes
Q101,Ever lived with parent/guardian w mental illness A,2,No
Q102,Ever incarcerated parent/guardian ACEs,1,Yes
Q102,Ever incarcerated parent/guardian ACEs,2,No
Q103,Feel close to people at their school,1,Strongly agree
Q103,Feel close to people at their school,2,Agree
Q103,Feel close to people at their school,3,Not sure
Q103,Feel close to people at their school,4,Disagree
Q103,Feel close to people at their school,5,Strongly disagree
Q104,Parental monitoring,1,Never
Q104,Parental monitoring,2,Rarely
Q104,Parental monitoring,3,Sometimes
Q104,Parental monitoring,4,Most of the time
Q104,Parental monitoring,5,Always
Q105,Unfairly disciplined at school,1,Yes
Q105,Unfairly disciplined at school,2,No
Q106,Difficulty concentrating,1,Yes
Q106,Difficulty concentrating,2,No
Q107,How well speak English,1,Very well
Q107,How well speak English,2,Well
Q107,How well speak English,3,Not well
Q107,How well speak English,4,Not at all
QN8,Did not always wear a seat belt,,
QN9,Rode with a driver who had been drinking alcohol,,
QN10,Drove a car or other vehicle when they had been drinking alcohol,,
QN11,Texted or e-mailed while driving a car or other vehicle	,,
QN12,Carried a weapon on school property,,
QN13,Carried a gun,,
QN14,Did not go to school because they felt unsafe at school or on their way to or from school,,
QN15,Were threatened or injured with a weapon on school property,,
QN16,Were in a physical fight,,
QN17,Were in a physical fight on school property,,
QN18,"Ever saw someone get physically attacked, beaten, stabbed, or shot in their neighborhood",,
QN19,Were ever physically forced to have sexual intercourse,,
QN20,Experienced sexual violence,,
QN21,Experienced sexual dating violence,,
QN22,Experienced physical dating violence,,
QN23,Felt that they were ever treated badly or unfairly in school because of their race or ethnicity,,
QN24,Were bullied on school property,,
QN25,Were electronically bullied,,
QN26,Felt sad or hopeless,,
QN27,Seriously considered attempting suicide,,
QN28,Made a plan about how they would attempt suicide,,
QN29,Attempted suicide,,
QN30,"Had a suicide attempt that resulted in an injury, poisoning, or overdose that had to be treated by a doctor or nurse",,
QN31,Ever smoked a cigarette,,
QN32,Smoked a cigarette before age 13 years,,
QN33,Currently smoked cigarettes,,
QN34,Smoked more than 10 cigarettes per day,,
QN35,Ever used an electronic vapor product,,
QN36,Currently used an electronic vapor product,,
QN37,"Usually got their electronic vapor products by buying them themselves in a convenience store, supermarket, discount store, or gas station",,
QN38,Currently used smokeless tobacco,,
QN39,Currently smoked cigars,,
QN40,Tried to quit using all tobacco products,,
QN41,Had their first drink of alcohol before age 13 years,,
QN42,Currently drank alcohol,,
QN43,Currently were binge drinking,,
QN44,Reported that the largest number of drinks they had in a row was 10 or more,,
QN45,Usually got the alcohol they drank by someone giving it to them,,
QN46,Ever used marijuana,,
QN47,tried marijuana for the first time before age 13 years,,
QN48,Currently used marijuana,,
QN49,Ever took prescription pain medicine without a doctor's prescription or differently than how a doctor told them to use it,,
QN50,Ever used cocaine,,
QN51,Ever used inhalants,,
QN52,Ever used heroin,,
QN53,Ever used methamphetamines,,
QN54,Ever used ecstasy,,
QN55,Ever injected any illegal drug,,
QN56,Ever had sexual intercourse,,
QN57,Had sexual intercourse for the first time before age 13 years,,
QN58,Had sexual intercourse with four or more persons during their life,,
QN59,Were currently sexually active,,
QN60,Drank alcohol or used drugs before last sexual intercourse,,
QN61,Used a condom during last sexual intercourse,,
QN62,Used birth control pills before last sexual intercourse with opposite-sex partner,,
QN66,Described themselves as slightly or very overweight,,
QN67,Were trying to lose weight,,
QN68,Did not drink fruit juice,,
QN69,Did not eat fruit,,
QN70,Did not eat green salad,,
QN71,Did not eat potatoes,,
QN72,Did not eat carrots,,
QN73,Did not eat other vegetables,,
QN74,"Did not drink a can, bottle, or glass of soda or pop",,
QN75,Did not eat breakfast,,
QN76,Were physically active at least 60 minutes per day on 5 or more days,,
QN77,Attended physical education (PE) classes on 1 or more days,,
QN78,Played on at least one sports team,,
QN79,Had a concussion from playing a sport or being physically active,,
QN80,Used social media several times a day,,
QN81,Were ever tested for human immunodeficiency virus (HIV),,
QN82,Were ever tested for a sexually transmitted disease (STD),,
QN83,Saw a dentist,,
QN84,Reported that their mental health was most of the time or always not good,,
QN85,Got 8 or more hours of sleep,,
QN86,Experienced unstable housing,,
QN87,Described their grades in school as mostly A''s or B''s,,
QN88,Reported that an adult or person at least 5 years older than them ever made them do sexual things they did not want to do,,
QN89,Reported that a parent or other adult in their home most of the time or always insulted them or put them down,,
QN90,"Reported that a parent or other adult in their home most of the time or always hit, beat, kicked, or physically hurt them in any way",,
QN91,"Reported that their parents or other adults in their home most of the time or always slapped, hit, kicked, punched, or beat each other up",,
QN92,currently took prescription pain medicine without a doctor's prescription or differently than how a doctor told them to use it,,
QN93,ever used hallucinogenic drugs,,
QN94,Verbally asked for consent the last time they had sexual contact,,
QN95,"did not drink a can, bottle, or glass of a sports drink",,
QN96,did not drink a bottle or glass of plain water,,
QN97,did exercises to strengthen or tone their muscles on three or more days,,
QN98,had a sunburn,,
QN99,Reported that an adult in their household most of the time or always tried to make sure their basic needs were met,,
QN100,ever lived with a parent or guardian who was having a problem with alcohol or drug use,,
QN101,"ever lived with a parent or guardian who had severe depression, anxiety, or another mental illness, or was suicidal",,
QN102,"Have ever been separated from a parent or guardian because they went to jail, prison, or a detention center",,
